codigo_parroquia,codigo_provincia,provincia,canton,parroquia,provincia_modelo,riesgo_predicho,probabilidad_prediccion,probabilidad_bajo,probabilidad_medio,probabilidad_alto
070150,07,EL ORO,MACHALA,MACHALA,EL ORO,Alto,0.8242,0.0554,0.1204,0.8242
070152,07,EL ORO,MACHALA,EL RETIRO,EL ORO,Medio,0.5841,0.362,0.5841,0.0539
070250,07,EL ORO,ARENILLAS,ARENILLAS,EL ORO,Alto,0.7809,0.1209,0.0982,0.7809
070251,07,EL ORO,ARENILLAS,CHACRAS,EL ORO,Bajo,0.623,0.623,0.213,0.164
070254,07,EL ORO,ARENILLAS,PALMALES,EL ORO,Bajo,0.6853,0.6853,0.253,0.0616
070255,07,EL ORO,ARENILLAS,CARCABÓN,EL ORO,Bajo,0.7024,0.7024,0.149,0.1486
070256,07,EL ORO,ARENILLAS,LA CUCA,EL ORO,Bajo,0.7174,0.7174,0.1808,0.1019
070350,07,EL ORO,ATAHUALPA,PACCHA,EL ORO,Bajo,0.8935,0.8935,0.0994,0.0071
070351,07,EL ORO,ATAHUALPA,AYAPAMBA,EL ORO,Bajo,0.9609,0.9609,0.0301,0.009
070352,07,EL ORO,ATAHUALPA,CORDONCILLO,EL ORO,Bajo,0.9218,0.9218,0.0624,0.0158
070353,07,EL ORO,ATAHUALPA,MILAGRO,EL ORO,Bajo,0.9744,0.9744,0.0256,0.0
070354,07,EL ORO,ATAHUALPA,SAN JOSÉ,EL ORO,Bajo,0.9679,0.9679,0.0321,0.0
070355,07,EL ORO,ATAHUALPA,SAN JUAN DE CERRO AZUL,EL ORO,Bajo,0.9809,0.9809,0.0131,0.006
070450,07,EL ORO,BALSAS,BALSAS,EL ORO,Medio,0.7074,0.2672,0.7074,0.0254
070451,07,EL ORO,BALSAS,BELLAMARÍA,EL ORO,Bajo,0.9594,0.9594,0.0384,0.0022
070550,07,EL ORO,CHILLA,CHILLA,EL ORO,Bajo,0.9392,0.9392,0.0559,0.0049
070650,07,EL ORO,EL GUABO,EL GUABO,EL ORO,Alto,0.647,0.1301,0.2229,0.647
070651,07,EL ORO,EL GUABO,BARBONES,EL ORO,Bajo,0.6703,0.6703,0.268,0.0617
070652,07,EL ORO,EL GUABO,LA IBERIA,EL ORO,Bajo,0.6572,0.6572,0.1804,0.1624
070653,07,EL ORO,EL GUABO,TENDALES,EL ORO,Medio,0.5963,0.3061,0.5963,0.0976
070654,07,EL ORO,EL GUABO,RÍO BONITO,EL ORO,Medio,0.619,0.3585,0.619,0.0225
070750,07,EL ORO,HUAQUILLAS,HUAQUILLAS,EL ORO,Alto,0.6667,0.1338,0.1995,0.6667
